path,NAME,BRK_A3,CONTINENT,SUBREGION,REGION_WB
Ethiopia,ETH,Africa,Eastern Africa,Sub-Saharan Africa,M 475.52 165.43 476.09 163.63 475.99 162.97 476.67 162.27 477.44 162.35 477.47 161.4 478.06 160.02 478.95 158.51 480.07 158.19 480.32 156.77 480.65 156.31 480.97 154.77 482.18 154.72 482.67 154.34 483.27 155.1 483.99 153.41 485.18 154.43 487.53 154.19 488.9 154.32 490.51 155.12 491.31 156.21 492.46 157.02 492.98 157.85 493.94 158.76 492.54 160.81 492.65 162.07 494.46 161.81 495.15 162.01 494.65 162.76 494.95 163.76 496.25 165.52 497.59 166.47 500.89 167.55 504.14 168.66 506.35 168.66 502.91 171.99 499.62 175.5 497.46 175.41 495.58 176.09 494.85 176.89 493.4 177.08 492.85 177.57 491.14 177.61 490.36 176.89 488.33 177.82 487.42 178.71 485.33 178.36 484.46 178.38 481.67 176.56 479.89 176.54 479.62 176.15 479.32 175.83 479.37 174.6 477.8 173.93 476.99 171.68 476.53 171.42 474.74 169.42 473.26 169.1 473.54 167.76 475.3 167.67 475.61 167.27 475.52 165.43 Z
S. Sudan,SDS,Africa,Eastern Africa,Sub-Saharan Africa,M 479.62 176.15 478.94 176.15 478.85 175.52 478.13 175.35 476.21 176.15 475.32 177.04 474.33 178.02 473.19 177.79 470.81 178.43 470.45 177.93 469.84 178.28 469.03 178.0 468.36 178.65 467.69 177.87 466.77 177.3 465.38 176.04 464.96 176.66 463.74 176.29 462.96 176.91 461.56 176.2 460.83 175.15 460.52 174.85 460.23 173.71 458.8 172.99 458.28 172.23 458.47 171.64 457.69 170.88 456.21 170.13 456.04 169.41 455.04 168.29 453.49 167.9 453.58 167.13 454.44 166.69 454.96 164.67 455.6 163.57 457.29 163.3 457.41 163.8 458.87 165.29 460.03 165.09 461.83 165.12 462.17 165.7 463.94 165.72 464.3 165.1 465.35 164.75 465.65 164.09 466.53 163.62 468.16 164.81 469.24 164.68 470.19 163.75 470.81 162.77 471.85 161.89 471.7 160.43 471.12 159.79 472.59 159.78 472.56 159.31 473.61 159.32 473.33 160.71 473.55 162.35 475.15 163.8 475.52 165.43 475.61 167.27 475.3 167.67 473.54 167.76 473.26 169.1 474.74 169.42 476.53 171.42 476.99 171.68 477.8 173.93 479.37 174.6 479.32 175.83 479.62 176.15 Z
Somalia,SOM,Africa,Eastern Africa,Sub-Saharan Africa,M 506.35 168.66 508.48 165.44 508.48 161.45 509.9 160.99 511.43 160.7 512.6 159.81 513.7 160.16 513.32 160.89 513.36 162.72 512.89 163.5 512.7 165.43 511.77 166.76 511.48 167.58 510.48 168.74 510.43 169.23 509.43 170.82 508.78 172.17 508.7 172.77 507.83 174.24 506.85 175.51 506.29 176.51 503.35 179.69 502.03 180.98 498.75 182.93 496.35 185.01 493.28 188.3 492.07 190.15 492.04 189.88 490.84 188.32 490.81 185.01 490.81 180.15 491.64 179.29 492.85 177.57 493.4 177.08 494.85 176.89 495.58 176.09 497.46 175.41 499.62 175.5 502.91 171.99 506.35 168.66 Z
Kenya,KEN,Africa,Eastern Africa,Sub-Saharan Africa,M 479.62 176.15 479.89 176.54 481.67 176.56 484.46 178.38 485.33 178.36 487.42 178.71 488.33 177.82 490.36 176.89 491.14 177.61 492.85 177.57 491.64 179.29 490.81 180.15 490.81 185.01 490.84 188.32 492.04 189.88 492.07 190.15 491.56 190.73 490.67 191.0 490.5 191.65 489.05 192.51 488.95 193.6 488.33 194.42 487.67 196.15 486.87 196.76 483.73 194.49 483.33 193.93 483.45 193.14 478.5 190.38 475.48 188.7 475.15 188.61 475.26 186.73 475.13 186.15 476.49 183.94 477.14 183.66 477.54 182.67 477.41 180.9 476.33 179.34 475.98 178.17 475.32 177.04 476.21 176.15 478.13 175.35 478.85 175.52 478.94 176.15 479.62 176.15 Z
Malawi,MWI,Africa,Eastern Africa,Sub-Saharan Africa,M 477.5 212.04 476.81 212.04 476.15 213.43 476.46 214.51 476.58 215.93 477.35 216.39 478.59 217.73 479.47 218.9 479.32 220.07 479.35 221.87 478.41 222.17 478.06 222.93 478.26 224.3 476.22 222.27 475.88 221.61 476.63 220.24 476.48 218.7 476.13 218.28 474.49 218.58 473.6 217.45 473.26 217.41 472.54 216.48 473.14 215.63 473.21 214.35 473.98 214.14 473.71 213.15 473.66 211.7 474.02 211.14 473.86 210.37 474.64 209.83 473.63 207.95 472.97 207.24 474.05 207.68 475.39 207.4 476.44 208.44 476.86 210.19 476.68 210.81 477.5 212.04 Z
Tanzania,TZA,Africa,Eastern Africa,Sub-Saharan Africa,M 472.97 207.24 471.78 206.64 470.21 206.15 469.5 205.42 468.63 205.34 468.17 204.55 467.32 202.59 466.7 201.66 465.92 201.14 465.34 199.69 465.6 198.85 465.0 197.11 465.18 196.25 465.9 196.28 466.51 195.86 467.54 194.18 468.34 193.42 467.42 192.71 467.73 191.71 468.35 191.59 468.34 189.92 467.55 188.75 468.34 188.61 471.73 188.61 475.15 188.61 475.48 188.7 478.5 190.38 483.45 193.14 483.33 193.93 483.73 194.49 486.87 196.76 486.76 197.7 485.96 199.76 486.12 200.46 487.48 201.59 487.66 202.17 487.12 202.9 487.46 204.15 487.07 204.81 487.54 206.52 487.88 206.76 488.18 208.4 489.18 209.0 489.63 209.61 488.68 210.35 487.09 211.11 486.22 211.14 485.32 211.69 484.8 211.39 483.96 211.48 483.75 212.01 482.96 212.37 482.12 212.09 480.24 212.33 479.42 211.69 479.03 212.05 477.5 212.04 476.68 210.81 476.86 210.19 476.44 208.44 475.39 207.4 474.05 207.68 472.97 207.24 Z
Somaliland,B30,Africa,Eastern Africa,Sub-Saharan Africa,M 508.48 161.45 508.48 165.44 506.35 168.66 504.14 168.66 500.89 167.55 497.59 166.47 496.25 165.52 494.95 163.76 494.65 162.76 495.15 162.01 495.85 160.92 497.16 162.44 498.14 163.21 499.67 163.3 501.53 162.28 502.96 162.69 505.0 161.62 506.76 161.68 507.85 161.27 508.48 161.45 Z
Morocco,MAR,Africa,Northern Africa,Middle East & North Africa,M 362.29 138.91 362.39 138.11 362.97 137.01 363.38 136.92 363.89 135.63 365.38 133.13 366.95 131.67 367.23 129.98 368.06 128.18 369.81 127.23 370.8 125.02 371.25 124.51 373.26 124.12 374.54 123.6 375.51 122.63 376.56 122.13 377.52 121.16 378.6 119.61 378.69 118.99 378.23 118.13 378.17 116.78 379.24 115.4 379.47 114.18 381.73 112.34 383.38 111.8 384.88 110.93 386.05 109.07 386.86 107.07 388.03 106.76 388.16 106.93 388.36 107.51 389.43 108.27 390.3 108.47 391.86 108.17 392.43 108.37 393.47 108.07 393.54 108.19 395.07 108.61 396.04 109.34 395.85 109.7 396.29 110.79 396.29 112.71 397.3 114.59 397.23 115.27 394.42 115.16 393.49 115.35 393.73 115.91 391.89 116.24 391.54 117.18 392.12 117.77 391.92 118.31 390.31 118.76 388.31 120.14 387.72 120.95 387.24 120.74 384.16 120.98 383.11 121.24 380.75 122.85 380.75 125.07 380.6 126.12 379.14 126.34 378.42 126.85 377.28 126.85 375.79 126.52 374.75 126.8 374.87 127.35 374.03 128.53 373.33 128.69 372.45 131.35 371.05 132.3 370.5 133.23 369.48 133.65 368.92 134.5 368.48 136.94 367.57 137.93 367.11 138.84 365.09 138.75 362.29 138.91 Z
W. Sahara,B28,Africa,Northern Africa,Middle East & North Africa,M 380.75 125.07 380.75 125.91 380.76 128.73 378.5 128.77 373.37 128.77 373.37 134.31 372.03 134.81 371.15 135.37 370.98 136.52 371.15 139.1 366.75 139.1 362.41 139.1 362.19 140.36 362.29 138.91 365.09 138.75 367.11 138.84 367.57 137.93 368.48 136.94 368.92 134.5 369.48 133.65 370.5 133.23 371.05 132.3 372.45 131.35 373.33 128.69 374.03 128.53 374.87 127.35 374.75 126.8 375.79 126.52 377.28 126.85 378.42 126.85 379.14 126.34 380.6 126.12 380.75 125.07 Z
Congo,COG,Africa,Middle Africa,Sub-Saharan Africa,M 441.29 178.68 441.26 179.45 440.06 181.6 440.06 182.95 439.6 184.14 439.77 185.59 439.27 186.82 439.34 187.55 438.34 188.65 437.33 189.19 436.62 190.52 435.98 191.11 435.93 193.84 435.21 195.13 434.51 195.34 433.7 196.01 432.88 197.06 431.91 197.15 431.85 195.87 430.35 196.79 429.61 197.02 428.98 196.66 428.29 196.12 427.44 196.63 426.62 197.52 426.17 196.53 424.64 195.12 424.85 194.58 426.22 194.25 425.91 193.42 425.62 191.6 426.74 191.74 427.62 191.55 427.54 190.6 428.38 190.64 428.84 191.46 429.62 191.77 430.52 191.09 430.78 191.91 431.54 191.54 431.59 190.75 432.1 189.47 431.9 188.66 432.14 187.79 430.86 186.51 430.75 185.95 431.55 185.19 432.07 184.36 431.44 183.33 430.58 183.21 429.37 183.68 429.1 182.86 429.47 181.6 431.63 181.62 432.28 181.49 433.45 181.99 434.94 182.16 435.9 181.43 436.53 180.1 436.73 178.71 438.42 178.37 439.58 178.55 441.04 178.43 441.29 178.68 Z
